year,class_id,class_hh,class_m_edu,class_lag_mean,class_size,grade,school_hh,school_m_edu,class_mean,id_teacher,res_lag1,res_lag2,res_lag3,res_lag4,res_lag5,res_lag6,weight1,weight2,weight3,weight4,weight5,weight6
2005,4882,11548.447,17.708334,-.005327547,24,6,12131.959,16.446377,-2.6999226,5,-2.6620874,-2.6932037,-2.5578549,-2.4939427,,,53,53,51,56,54,
2006,88,12576.701,15.958333,.057482537,24,6,11986.325,16.481857,-2.6780288,5,-2.6999226,-2.6620874,-2.6932037,-2.5578549,-2.4939427,,48,53,53,51,56,54
2007,2494,11555.262,16.142857,-.032345727,28,6,12213.881,16.442364,-2.7144277,5,-2.6780288,-2.6999226,-2.6620874,-2.6932037,-2.5578549,-2.4939427,52,52,57,57,55,60
2000,2,12289.55,16.285715,,28,4,12113.517,16.427338,,6,,,,,,,,,,,,
2001,4808,11700.992,16.23077,.096736312,26,4,11918.756,16.441826,-2.6422648,6,,,,,,,54,,,,,
2002,4814,12808.252,17.533333,.0038625496,30,4,12367.32,16.351471,-2.6870193,6,-2.6422648,,,,,,56,58,,,,
2003,72,13876.557,16.360001,.044073891,25,8,12002.676,16.555719,-2.7749012,6,-2.6870193,-2.6422648,,,,,55,51,53,,,
2004,4878,14934.296,15.92,.10145051,25,8,12295.947,16.481752,-2.7655482,6,-2.7749012,-2.6870193,-2.6422648,,,,50,55,51,53,,
2005,7284,13060.056,15.724138,.016366094,29,8,12131.959,16.446377,-2.6998906,6,-2.7655482,-2.7749012,-2.6870193,-2.6422648,,,54,54,59,55,57,
2006,2490,12373.209,16.535715,-.27755606,28,8,11986.325,16.481857,-2.6965153,6,-2.6998906,-2.7655482,-2.7749012,-2.6870193,-2.6422648,,57,53,53,58,54,56
2007,96,13047.184,17.535715,-.18848757,28,8,12213.881,16.442364,-2.7281072,6,-2.6965153,-2.6998906,-2.7655482,-2.7749012,-2.6870193,-2.6422648,56,57,53,53,58,54
2000,2402,10565.762,16.25,,28,4,12113.517,16.427338,,7,,,,,,,,,,,,
2001,8,13528.408,16.200001,-.25344205,25,4,11918.756,16.441826,-2.6045878,7,,,,,,,53,,,,,
2002,14,12557.197,16,.10952067,27,4,12367.32,16.351471,-2.7157221,7,-2.6045878,,,,,,52,55,,,,
2003,21,12025.018,17.120001,-.039384101,25,5,12396.063,16.319588,-2.7179139,7,-2.7157221,-2.6045878,,,,,52,50,53,,,
2004,27,11103.694,14,-.10997061,27,5,11890.459,16.413139,-2.8183358,7,-2.7179139,-2.7157221,-2.6045878,,,,52,54,52,55,,
2005,2433,11801.074,16.46875,.055190619,32,5,12018.04,16.398243,-2.7319651,7,-2.8183358,-2.7179139,-2.7157221,-2.6045878,,,59,57,59,57,60,
2006,2439,11907.101,16.703703,-.18234624,27,5,12205.623,16.446505,-2.6749604,7,-2.7319651,-2.8183358,-2.7179139,-2.7157221,-2.6045878,,59,54,52,54,52,55
2007,45,12250.91,16.25,.011665093,28,5,12109.662,16.527897,-2.6928558,7,-2.6749604,-2.7319651,-2.8183358,-2.7179139,-2.7157221,-2.6045878,55,60,55,53,55,53
2000,7202,13036.597,17.166666,,30,4,12113.517,16.427338,,8,,,,,,,,,,,,
2001,7208,11605.541,14.925926,.076173864,27,4,11918.756,16.441826,-2.6401589,8,,,,,,,57,,,,,
2002,2414,12518.7,15.962963,-.37801206,27,4,12367.32,16.351471,-2.6275764,8,-2.6401589,,,,,,54,57,,,,
2003,2471,11904.11,14.733334,-.1285978,30,7,12002.676,16.555719,-2.6739302,8,-2.6275764,-2.6401589,,,,,57,57,60,,,
2004,4877,12143.514,14.807693,-.040059656,26,7,12295.947,16.481752,-2.7224557,8,-2.6739302,-2.6275764,-2.6401589,,,,56,53,53,56,,
2005,2483,11922.634,19.064516,.19311418,31,7,12131.959,16.446377,-2.6399257,8,-2.7224557,-2.6739302,-2.6275764,-2.6401589,,,57,61,58,58,61,
2006,7289,12082.408,17.933332,-.12077343,30,7,11986.325,16.481857,-2.6737683,8,-2.6399257,-2.7224557,-2.6739302,-2.6275764,-2.6401589,,61,56,60,57,57,60
2007,2495,11471.704,16.074074,-.056923743,27,7,12213.881,16.442364,-2.6973042,8,-2.6737683,-2.6399257,-2.7224557,-2.6739302,-2.6275764,-2.6401589,57,58,53,57,54,54
2000,4803,10350.983,15.72,,25,5,12113.517,16.427338,,9,,,,,,,,,,,,
2001,9,11384.184,17.382353,-.32235411,34,5,11918.756,16.441826,-2.6461315,9,,,,,,,59,,,,,
2002,7215,12103.216,14.714286,.31057674,28,5,12367.32,16.351471,-2.6366699,9,-2.6461315,,,,,,62,53,,,,
2003,4824,13014.451,15.533334,.48675784,30,8,12396.063,16.319588,-2.6683817,9,-2.6366699,-2.6461315,,,,,58,64,55,,,
2004,2430,13010.988,16.464285,.071868971,28,8,11890.459,16.413139,-2.6752739,9,-2.6683817,-2.6366699,-2.6461315,,,,58,56,62,53,,
2005,2436,12267.532,16.285715,-.13383977,28,8,12018.04,16.398243,-2.7234952,9,-2.6752739,-2.6683817,-2.6366699,-2.6461315,,,56,58,56,62,53,
2006,4842,12388.477,16.666666,-.13193004,33,8,12205.623,16.446505,-2.6306586,9,-2.7234952,-2.6752739,-2.6683817,-2.6366699,-2.6461315,,61,61,63,61,67,58
2007,48,10607.061,16.096775,.015785817,31,8,12109.662,16.527897,-2.742404,9,-2.6306586,-2.7234952,-2.6752739,-2.6683817,-2.6366699,-2.6461315,64,59,59,61,59,65
2000,2403,11886.203,17.875,,32,5,12113.517,16.427338,,10,,,,,,,,,,,,
2001,7209,13263.044,16.76,.33701149,25,5,11918.756,16.441826,-2.5956976,10,,,,,,,57,,,,,
2002,4815,12038.876,15.269231,.16364478,26,5,12367.32,16.351471,-2.6359084,10,-2.5956976,,,,,,51,58,,,,
2003,4968,11551.866,15.615385,-.077993512,26,8,11947.981,16.762886,-2.6866076,10,-2.6359084,-2.5956976,,,,,52,51,58,,,
2004,2574,12296.388,16.884615,-.20702486,26,8,12053.163,16.760933,-2.6963451,10,-2.6866076,-2.6359084,-2.5956976,,,,52,52,51,58,,
2005,2580,11728.855,15.205882,-.035689894,34,8,12049.78,16.65036,-2.699542,10,-2.6963451,-2.6866076,-2.6359084,-2.5956976,,,60,60,60,59,66,
2006,4986,12546.682,16.896551,.16815433,29,8,12108.57,16.771101,-2.7727573,10,-2.699542,-2.6963451,-2.6866076,-2.6359084,-2.5956976,,63,55,55,55,54,61
2007,2592,11673.231,16.629629,-.019915825,27,8,12126.104,16.722536,-2.7450969,10,-2.7727573,-2.699542,-2.6963451,-2.6866076,-2.6359084,-2.5956976,56,61,53,53,53,52
2000,3,12138.577,15.806452,,31,5,12113.517,16.427338,,11,,,,,,,,,,,,
2001,4809,11978.528,15.642858,.21641414,28,5,11918.756,16.441826,-2.6247444,11,,,,,,,59,,,,,
2002,2415,12375.985,15.307693,.20294124,26,5,12367.32,16.351471,-2.6427393,11,-2.6247444,,,,,,54,57,,,,
2003,7222,11917.762,15.103448,.14536901,29,6,12396.063,16.319588,-2.7088697,11,-2.6427393,-2.6247444,,,,,55,57,60,,,
2004,28,11737.189,14.296296,.46356118,27,6,11890.459,16.413139,-2.6573193,11,-2.7088697,-2.6427393,-2.6247444,,,,56,53,55,58,,
2005,7234,12990.706,16.214285,-.39940926,28,6,12018.04,16.398243,-2.6359324,11,-2.6573193,-2.7088697,-2.6427393,-2.6247444,,,55,57,54,56,59,
2006,7240,13167.854,16.129032,.15393767,31,6,12205.623,16.446505,-2.675375,11,-2.6359324,-2.6573193,-2.7088697,-2.6427393,-2.6247444,,59,58,60,57,59,62
2007,4846,13086.881,15.518518,-.1943928,27,6,12109.662,16.527897,-2.7180815,11,-2.675375,-2.6359324,-2.6573193,-2.7088697,-2.6427393,-2.6247444,58,55,54,56,53,55
2000,7203,11976.464,15.4,,25,5,12113.517,16.427338,,12,,,,,,,,,,,,
2001,2409,11789.496,17.068966,-.1242836,29,5,11918.756,16.441826,-2.6320925,12,,,,,,,54,,,,,
2002,15,12586.063,17.133333,-.0069042402,30,5,12367.32,16.351471,-2.5698059,12,-2.6320925,,,,,,59,55,,,,
2003,2516,11237.844,16.655172,.08936061,29,4,11819.21,16.057352,-2.6352401,12,-2.5698059,-2.6320925,,,,,59,58,54,,,
2004,2522,12550.34,14.321428,-.30586073,28,4,12391.303,16.02511,-2.6983616,12,-2.6352401,-2.5698059,-2.6320925,,,,57,58,57,53,,
2005,2528,11153.861,16.931034,.091846652,29,4,11854.614,16.287834,-2.5944016,12,-2.6983616,-2.6352401,-2.5698059,-2.6320925,,,57,58,59,58,54,
2006,7334,11675.964,17.464285,-.29873839,28,4,12052.013,16.139465,-2.705024,12,-2.5944016,-2.6983616,-2.6352401,-2.5698059,-2.6320925,,57,56,57,58,57,53
2007,7340,12391.57,16.107143,-.074495703,28,4,11936.362,16.256598,-2.6445346,12,-2.705024,-2.5944016,-2.6983616,-2.6352401,-2.5698059,-2.6320925,56,57,56,57,58,57
2000,4804,13280.924,16.333334,,30,6,12113.517,16.427338,,13,,,,,,,,,,,,
2001,7210,11207.158,16.444445,-.14573424,27,6,11918.756,16.441826,-2.6030445,13,,,,,,,57,,,,,
2002,7216,13211.9,16.576923,.026296513,26,6,12367.32,16.351471,-2.5723579,13,-2.6030445,,,,,,53,56,,,,
2003,2566,10783.542,16.935484,.19185974,31,6,11947.981,16.762886,-2.5516353,13,-2.5723579,-2.6030445,,,,,57,58,61,,,
2004,2572,11180.889,16.142857,-.17058031,28,6,12053.163,16.760933,-2.6389761,13,-2.5516353,-2.5723579,-2.6030445,,,,59,54,55,58,,
2005,178,10806.953,16.1875,-.11187097,32,6,12049.78,16.65036,-2.6524506,13,-2.6389761,-2.5516353,-2.5723579,-2.6030445,,,60,63,58,59,62,
2006,7384,12461.558,16.370371,.063337147,27,6,12108.57,16.771101,-2.6699414,13,-2.6524506,-2.6389761,-2.5516353,-2.5723579,-2.6030445,,59,55,58,53,54,57
2007,7390,12251.48,16.53125,-.027630609,32,6,12126.104,16.722536,-2.628089,13,-2.6699414,-2.6524506,-2.6389761,-2.5516353,-2.5723579,-2.6030445,59,64,60,63,58,59
2000,7204,12235.783,17.6,,25,6,12113.517,16.427338,,14,,,,,,,,,,,,
2001,10,12640.08,16.25,-.27348754,28,6,11918.756,16.441826,-2.6414735,14,,,,,,,53,,,,,
2002,2416,12377.232,16.966667,.05504277,30,6,12367.32,16.351471,-2.7686291,14,-2.6414735,,,,,,58,55,,,,
2003,7271,12917.361,15.5,.38473693,24,7,12002.676,16.555719,-2.7408531,14,-2.7686291,-2.6414735,,,,,54,52,49,,,
2004,2477,12317.005,17.53125,-.21380302,32,7,12295.947,16.481752,-2.70787,14,-2.7408531,-2.7686291,-2.6414735,,,,56,62,60,57,,
2005,7283,11249.496,14.870968,-.3991001,31,7,12131.959,16.446377,-2.6914518,14,-2.70787,-2.7408531,-2.7686291,-2.6414735,,,63,55,61,59,56,
2006,4889,12476.836,17.041666,-.045161773,24,7,11986.325,16.481857,-2.7580216,14,-2.6914518,-2.70787,-2.7408531,-2.7686291,-2.6414735,,55,56,48,54,52,49
2007,7295,11847.77,17.516129,-.1425968,31,7,12213.881,16.442364,-2.6976569,14,-2.7580216,-2.6914518,-2.70787,-2.7408531,-2.7686291,-2.6414735,55,62,63,55,61,59
2000,4,11142.937,17.4,,25,6,12113.517,16.427338,,15,,,,,,,,,,,,
2001,4810,13330.492,16.344828,.066558667,29,6,11918.756,16.441826,-2.5133302,15,,,,,,,54,,,,,
2002,4816,13055.985,17.060606,.14322115,33,6,12367.32,16.351471,-2.5479927,15,-2.5133302,,,,,,62,58,,,,
2003,4872,11786.544,17.576923,-.14926182,26,8,12002.676,16.555719,-2.6219883,15,-2.5479927,-2.5133302,,,,,59,55,51,,,
2004,2478,12099.312,15.4,-.03559491,25,8,12295.947,16.481752,-2.6674583,15,-2.6219883,-2.5479927,-2.5133302,,,,51,58,54,50,,
2005,2484,11732.119,17.21875,.063904822,32,8,12131.959,16.446377,-2.7035677,15,-2.6674583,-2.6219883,-2.5479927,-2.5133302,,,57,58,65,61,57,
2006,90,12270.952,16.379311,.19059104,29,8,11986.325,16.481857,-2.7488787,15,-2.7035677,-2.6674583,-2.6219883,-2.5479927,-2.5133302,,61,54,55,62,58,54
2007,4896,13221.207,17.074074,.28959867,27,8,12213.881,16.442364,-2.6462474,15,-2.7488787,-2.7035677,-2.6674583,-2.6219883,-2.5479927,-2.5133302,56,59,52,53,60,56
2000,2404,11422.604,15.903226,,31,6,12113.517,16.427338,,16,,,,,,,,,,,,
2001,2410,12486.48,16.103449,-.13921461,29,6,11918.756,16.441826,-2.6100366,16,,,,,,,60,,,,,
2002,16,12761.22,16.296297,-.034306757,27,6,12367.32,16.351471,-2.6806965,16,-2.6100366,,,,,,56,58,,,,
2003,2467,11553.583,16.84375,,32,3,12002.676,16.555719,,16,-2.6806965,-2.6100366,,,,,59,61,63,,,
2004,4873,13290.998,15.483871,,31,3,12295.947,16.481752,,16,,-2.6806965,-2.6100366,,,,63,58,60,62,,
2005,79,11680.785,15.333333,,33,3,12131.959,16.446377,,16,,,-2.6806965,-2.6100366,,,64,65,60,62,64,
2006,4885,11277.015,16.5625,,32,3,11986.325,16.481857,,16,,,,-2.6806965,-2.6100366,,65,63,64,59,61,63
2007,2491,12184.31,14.821428,,28,3,12213.881,16.442364,,16,,,,,-2.6806965,-2.6100366,60,61,59,60,55,57
2000,4805,13234.79,16.09375,,32,7,12113.517,16.427338,,17,,,,,,,,,,,,
2001,4811,11715.745,16.566668,.17937361,30,7,11918.756,16.441826,-2.6427908,17,,,,,,,62,,,,,
2002,7217,11828.136,15.807693,.26997864,26,7,12367.32,16.351471,-2.7055037,17,-2.6427908,,,,,,56,58,,,,
2003,2420,11835.44,15.916667,.062822454,24,4,12396.063,16.319588,-2.6789033,17,-2.7055037,-2.6427908,,,,,50,54,56,,,
2004,26,12133.518,16.25926,.091234066,27,4,11890.459,16.413139,-2.6880021,17,-2.6789033,-2.7055037,-2.6427908,,,,51,53,57,59,,
2005,4832,11352.117,17.23077,-.18608564,26,4,12018.04,16.398243,-2.668906,17,-2.6880021,-2.6789033,-2.7055037,-2.6427908,,,53,50,52,56,58,
2006,7238,13053.279,17,-.083241105,27,4,12205.623,16.446505,-2.6773603,17,-2.668906,-2.6880021,-2.6789033,-2.7055037,-2.6427908,,53,54,51,53,57,59
2007,7244,11291.917,16.60606,.20207278,33,4,12109.662,16.527897,-2.696486,17,-2.6773603,-2.668906,-2.6880021,-2.6789033,-2.7055037,-2.6427908,60,59,60,57,59,63
2000,2405,12823.802,15.76,,25,7,12113.517,16.427338,,18,,,,,,,,,,,,
2001,11,12098.787,17.678572,-.013520543,28,7,11918.756,16.441826,-2.6431925,18,,,,,,,53,,,,,
2002,2417,13310.632,16.48,.29106402,25,7,12367.32,16.351471,-2.6410301,18,-2.6431925,,,,,,53,50,,,,
2003,4819,13820.597,16.571428,,28,3,12396.063,16.319588,,18,-2.6410301,-2.6431925,,,,,53,56,53,,,
2004,7225,12108.073,17.212122,,33,3,11890.459,16.413139,,18,,-2.6410301,-2.6431925,,,,61,58,61,58,,
2005,7231,11688.151,15.645162,,31,3,12018.04,16.398243,,18,,,-2.6410301,-2.6431925,,,64,59,56,59,56,
2006,4837,12738.583,15.205882,,34,3,12205.623,16.446505,,18,,,,-2.6410301,-2.6431925,,65,67,62,59,62,59
2007,2443,12766.771,16.076923,,26,3,12109.662,16.527897,,18,,,,,-2.6410301,-2.6431925,60,57,59,54,51,54
2000,7205,13366.914,17.965517,,29,7,12113.517,16.427338,,19,,,,,,,,,,,,
2001,7211,12208.155,16.076923,.12173007,26,7,11918.756,16.441826,-2.5866911,19,,,,,,,55,,,,,
2002,17,12191.893,15.482759,-.12664972,29,7,12367.32,16.351471,-2.6202099,19,-2.5866911,,,,,,55,58,,,,
2003,7224,12151.001,16.615385,.18653476,26,8,12396.063,16.319588,-2.6816547,19,-2.6202099,-2.5866911,,,,,55,52,55,,,
2004,7230,11776.499,18.607143,.08587537,28,8,11890.459,16.413139,-2.7936475,19,-2.6816547,-2.6202099,-2.5866911,,,,54,57,54,57,,
2005,7236,11893.492,15.464286,.065857194,28,8,12018.04,16.398243,-2.7307322,19,-2.7936475,-2.6816547,-2.6202099,-2.5866911,,,56,54,57,54,57,
2006,42,12627.983,15.76,.11205388,25,8,12205.623,16.446505,-2.6710165,19,-2.7307322,-2.7936475,-2.6816547,-2.6202099,-2.5866911,,53,53,51,54,51,54
2007,4848,12573.323,14.333333,-.13662745,27,8,12109.662,16.527897,-2.6308143,19,-2.6710165,-2.7307322,-2.7936475,-2.6816547,-2.6202099,-2.5866911,52,55,55,53,56,53
2000,5,12062.183,16.625,,32,7,12113.517,16.427338,,20,,,,,,,,,,,,
2001,2411,11936.422,16.592592,-.2751272,27,7,11918.756,16.441826,-2.5532978,20,,,,,,,59,,,,,
2002,4817,12798.656,17.212122,.22247402,33,7,12367.32,16.351471,-2.6737437,20,-2.5532978,,,,,,60,65,,,,
2003,4870,12598.036,17.6,-.11123099,30,6,12002.676,16.555719,-2.6637106,20,-2.6737437,-2.5532978,,,,,63,57,62,,,
2004,2476,11826.325,17.344828,.21713233,29,6,12295.947,16.481752,-2.6495366,20,-2.6637106,-2.6737437,-2.5532978,,,,59,62,56,61,,
2005,7282,13242.328,15.90625,.070199043,32,6,12131.959,16.446377,-2.7425814,20,-2.6495366,-2.6637106,-2.6737437,-2.5532978,,,61,62,65,59,64,
2006,7288,12445.102,15.580646,.33448234,31,6,11986.325,16.481857,-2.7650521,20,-2.7425814,-2.6495366,-2.6637106,-2.6737437,-2.5532978,,63,60,61,64,58,63
2007,94,11443.056,15.346154,.5159207,26,6,12213.881,16.442364,-2.7252643,20,-2.7650521,-2.7425814,-2.6495366,-2.6637106,-2.6737437,-2.5532978,57,58,55,56,59,53
2000,4806,12737.574,16.5,,30,8,12113.517,16.427338,,21,,,,,,,,,,,,
2001,4812,11553.364,15.857142,.2784535,28,8,11918.756,16.441826,-2.6495221,21,,,,,,,58,,,,,
2002,18,11656.44,16.959999,.21295998,25,8,12367.32,16.351471,-2.5953002,21,-2.6495221,,,,,,53,55,,,,
2003,2422,11714.399,15.615385,.10017197,26,6,12396.063,16.319588,-2.6486027,21,-2.5953002,-2.6495221,,,,,51,54,56,,,
2004,7228,12485.045,17.642857,-.079223424,28,6,11890.459,16.413139,-2.6985426,21,-2.6486027,-2.5953002,-2.6495221,,,,54,53,56,58,,
2005,34,12195.899,15.71875,-.13474865,32,6,12018.04,16.398243,-2.7547147,21,-2.6985426,-2.6486027,-2.5953002,-2.6495221,,,60,58,57,60,62,
2006,2440,11656.172,17.391304,-.14522809,23,6,12205.623,16.446505,-2.6981816,21,-2.7547147,-2.6985426,-2.6486027,-2.5953002,-2.6495221,,55,51,49,48,51,53
2007,2446,12072.314,17.870968,-.18336751,31,6,12109.662,16.527897,-2.6566215,21,-2.6981816,-2.7547147,-2.6985426,-2.6486027,-2.5953002,-2.6495221,54,63,59,57,56,59
2000,7206,12654.875,15.71875,,32,8,12113.517,16.427338,,22,,,,,,,,,,,,
2001,7212,11553.713,17.32258,.1952581,31,8,11918.756,16.441826,-2.6704373,22,,,,,,,63,,,,,
2002,7218,11811.136,16.419355,-.18766113,31,8,12367.32,16.351471,-2.6310751,22,-2.6704373,,,,,,62,63,,,,
2003,2421,13927.049,15.516129,-.098906182,31,5,12396.063,16.319588,-2.7137613,22,-2.6310751,-2.6704373,,,,,62,62,63,,,
2004,4827,11888.43,17.666666,.33986521,30,5,11890.459,16.413139,-2.7386625,22,-2.7137613,-2.6310751,-2.6704373,,,,61,61,61,62,,
2005,4833,12446.09,16.333334,-.27099121,27,5,12018.04,16.398243,-2.7251925,22,-2.7386625,-2.7137613,-2.6310751,-2.6704373,,,57,58,58,58,59,
2006,39,12249.941,17.214285,.010934891,28,5,12205.623,16.446505,-2.7624195,22,-2.7251925,-2.7386625,-2.7137613,-2.6310751,-2.6704373,,55,58,59,59,59,60
2007,7245,13953.637,17.75,-.045155559,28,5,12109.662,16.527897,-2.7004528,22,-2.7624195,-2.7251925,-2.7386625,-2.7137613,-2.6310751,-2.6704373,56,55,58,59,59,59
2000,6,13030.848,17.78125,,32,8,12113.517,16.427338,,23,,,,,,,,,,,,
2001,2412,12701.187,17.333334,.4305186,27,8,11918.756,16.441826,-2.7289369,23,,,,,,,59,,,,,
2002,4818,11977.374,16.896551,.23741236,29,8,12367.32,16.351471,-2.6960244,23,-2.7289369,,,,,,56,61,,,,
2003,23,12673.688,17.185184,.34825301,27,7,12396.063,16.319588,-2.6901729,23,-2.6960244,-2.7289369,,,,,56,54,59,,,
2004,29,12350.234,15.115385,-.15493047,26,7,11890.459,16.413139,-2.6976833,23,-2.6901729,-2.6960244,-2.7289369,,,,53,55,53,58,,
2005,4835,12184.727,16.548388,-.15948446,31,7,12018.04,16.398243,-2.7655144,23,-2.6976833,-2.6901729,-2.6960244,-2.7289369,,,57,58,60,58,63,
2006,2441,10812.154,16.78125,.14811087,32,7,12205.623,16.446505,-2.6878111,23,-2.7655144,-2.6976833,-2.6901729,-2.6960244,-2.7289369,,63,58,59,61,59,64
2007,4847,12360.408,16.233334,.20236969,30,7,12109.662,16.527897,-2.7012579,23,-2.6878111,-2.7655144,-2.6976833,-2.6901729,-2.6960244,-2.7289369,62,61,56,57,59,57
2000,2406,10782.065,15.939394,,33,8,12113.517,16.427338,,24,,,,,,,,,,,,
2001,12,9659.3496,16.03125,.083128333,32,8,11918.756,16.441826,-2.5775471,24,,,,,,,65,,,,,
2002,2418,11738.7,16.73077,-.023878127,26,8,12367.32,16.351471,-2.5977025,24,-2.5775471,,,,,,58,59,,,,
2003,168,12966.221,16.576923,-.17772423,26,8,11947.981,16.762886,-2.6516907,24,-2.5977025,-2.5775471,,,,,52,58,59,,,
2004,174,12158.618,18.275862,-.064169727,29,8,12053.163,16.760933,-2.684885,24,-2.6516907,-2.5977025,-2.5775471,,,,55,55,61,62,,
2005,4980,13811.947,16.129032,.10210074,31,8,12049.78,16.65036,-2.7511969,24,-2.684885,-2.6516907,-2.5977025,-2.5775471,,,60,57,57,63,64,
2006,186,12394.185,16.413794,-.034372672,29,8,12108.57,16.771101,-2.7191839,24,-2.7511969,-2.684885,-2.6516907,-2.5977025,-2.5775471,,60,58,55,55,61,62
2007,7392,12834.631,16.653847,-.30416197,26,8,12126.104,16.722536,-2.6774013,24,-2.7191839,-2.7511969,-2.684885,-2.6516907,-2.5977025,-2.5775471,55,57,55,52,52,58
2000,2449,10916.448,15.037037,,27,3,11720.217,16.164223,,25,,,,,,,,,,,,
2001,7255,12186.143,17.535715,,28,3,11858.983,16.356726,,25,,,,,,,55,,,,,
2002,2461,11912.605,17.851852,,27,3,11932.782,16.459736,,25,,,,,,,55,54,,,,
2003,2565,12635.5,16.25,.11843819,28,5,11947.981,16.762886,-2.679781,25,,,,,,,55,56,55,,,
2004,7371,11936.283,16.678572,-.034808759,28,5,12053.163,16.760933,-2.7461143,25,-2.679781,,,,,,56,55,56,55,,
2005,7377,11478.735,17.290323,-.24974239,31,5,12049.78,16.65036,-2.7769001,25,-2.7461143,-2.679781,,,,,59,59,58,59,58,
